"","NumeroDoExperimento","NumeroDaGeracao","NumeroDeEspacosVazios","NumeroDeSubstratosInicial","NumeroDePresasInicial","NumeroDePredadoresInicial","NumeroDePresasReproduzidas","NumeroDePredadoresReproduzidos","NumeroDePresasMortasDeFome","NumeroDePredadoresMortosDeFome","NumeroDePresasMortasPorIdade","NumeroDePredadoresMortosPorIdade","NumeroDePresasMortasPorPredadores","NumeroDeSubstratosConsumidos","NumeroDeSubstratoRestante","NumeroDePresasVivas","NumeroDePredadoresVivos"
"2",1,1,651,300,150,50,0,0,0,0,0,0,0,0,300,150,50
"3",1,2,651,300,150,50,0,0,0,0,0,0,0,31,78,121,50
"4",1,3,685,300,150,50,0,0,0,1,0,0,7,2,46,120,49
"5",1,4,793,300,150,50,0,10,0,97,0,0,1,0,43,29,35
"6",1,5,803,300,150,50,54,4,0,18,0,0,1,0,42,28,27
"7",1,6,778,300,150,50,0,2,0,30,0,2,1,6,42,54,26
"8",1,7,842,300,150,50,0,4,0,59,0,0,0,1,36,6,16
"9",1,8,852,300,150,50,12,0,0,12,0,0,0,0,34,6,8
"10",1,9,852,300,150,50,0,0,0,11,0,1,0,2,34,12,2
"11",1,10,866,300,150,50,0,0,0,12,0,0,0,0,32,2,0
"12",1,11,866,300,150,50,4,0,0,0,0,0,0,0,32,2,0
"13",1,12,864,300,150,50,0,0,0,2,0,0,0,1,32,4,0
"14",1,13,868,300,150,50,0,0,0,3,0,0,0,0,31,1,0
"15",1,14,868,300,150,50,2,0,0,0,0,0,0,0,31,1,0
"16",1,15,867,300,150,50,0,0,0,1,0,0,0,0,31,2,0
"17",1,16,869,300,150,50,0,0,0,2,0,0,0,0,31,0,0
"18",1,17,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"19",1,18,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"20",1,19,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"21",1,20,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"22",1,21,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"23",1,22,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"24",1,23,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"25",1,24,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"26",1,25,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"27",1,26,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"28",1,27,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"29",1,28,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"30",1,29,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"31",1,30,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"32",1,31,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"33",1,32,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"34",1,33,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"35",1,34,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"36",1,35,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"37",1,36,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"38",1,37,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"39",1,38,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"40",1,39,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"41",1,40,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"42",1,41,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"43",1,42,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"44",1,43,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"45",1,44,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"46",1,45,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"47",1,46,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"48",1,47,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"49",1,48,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"50",1,49,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"51",1,50,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"52",1,51,869,300,150,50,0,0,0,0,0,0,0,0,31,0,0
"53",2,1,654,300,150,50,0,0,0,0,0,0,0,0,300,150,50
"54",2,2,654,300,150,50,0,0,0,0,0,0,0,26,75,121,50
"55",2,3,687,300,150,50,0,0,0,0,0,0,5,2,44,120,49
"56",2,4,801,300,150,50,0,6,0,106,0,0,2,0,41,25,33
"57",2,5,820,300,150,50,46,6,0,23,0,0,0,0,41,23,16
"58",2,6,796,300,150,50,0,2,0,26,0,1,0,5,40,46,18
"59",2,7,850,300,150,50,0,0,0,51,0,0,0,0,35,5,10
"60",2,8,858,300,150,50,10,0,0,8,0,0,0,0,35,5,2
"61",2,9,855,300,150,50,0,0,0,7,0,0,0,1,35,10,0
"62",2,10,865,300,150,50,0,0,0,9,0,0,0,0,34,1,0
"63",2,11,865,300,150,50,2,0,0,0,0,0,0,0,34,1,0
"64",2,12,864,300,150,50,0,0,0,1,0,0,0,0,34,2,0
"65",2,13,866,300,150,50,0,0,0,2,0,0,0,0,34,0,0
"66",2,14,866,300,150,50,0,0,0,0,0,0,0,0,34,0,0
"67",2,15,866,300,150,50,0,0,0,0,0,0,0,0,34,0,0
"68",2,16,866,300,150,50,0,0,0,0,0,0,0,0,34,0,0
